MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_OLD,VALUE_NEW
M1,BELEG,M1V377670P12,13273,VBAK,M1V377670,LIFSK,U,ZA,nan
M1,BELEG,M1V377680P3,13280,VBAK,M1V377680,LIFSK,U,ZA,nan
M1,BELEG,M1V378664P3,13294,VBAK,M1V378664,LIFSK,U,ZA,nan
M1,BELEG,M1V378601P3,13318,VBAK,M1V378601,LIFSK,U,ZA,nan
M1,BELEG,M1V300021P36,13325,VBAK,M1V300021,LIFSK,U,ZA,nan
M1,BELEG,M1V380882P3,13332,VBAK,M1V380882,LIFSK,U,ZA,nan
M1,BELEG,M1V300223P44,13339,VBAK,M1V300223,LIFSK,U,ZA,nan
M1,BELEG,M1V380853P3,13347,VBAK,M1V380853,LIFSK,U,ZA,nan
M1,BELEG,M1V300232P3,13364,VBAK,M1V300232,LIFSK,U,ZA,nan
M1,BELEG,M1V380944P12,13445,VBAK,M1V380944,LIFSK,U,ZA,nan
M1,BELEG,M1V380924P2820,13467,VBAK,M1V380924,LIFSK,U,ZA,nan
M1,BELEG,M1V379815P100,13474,VBAK,M1V379815,LIFSK,U,ZA,nan
M1,BELEG,M1V379848P1427,13481,VBAK,M1V379848,LIFSK,U,ZA,nan
M1,BELEG,M1V379850P28,13499,VBAK,M1V379850,LIFSK,U,ZA,nan
M1,BELEG,M1V380767P12,13528,VBAK,M1V380767,LIFSK,U,ZA,nan
M1,BELEG,M1V379870P160,13535,VBAK,M1V379870,LIFSK,U,ZA,nan
M1,BELEG,M1V379870P60,13543,VBAK,M1V379870,LIFSK,U,ZA,nan
M1,BELEG,M1V362276P1427,13583,VBAK,M1V362276,LIFSK,U,ZA,nan
M1,BELEG,M1V363056P150,13591,VBAK,M1V363056,LIFSK,U,ZA,nan
M1,BELEG,M1V362255P18,13604,VBAK,M1V362255,LIFSK,U,ZA,nan
M1,BELEG,M1V362259P80,13618,VBAK,M1V362259,LIFSK,U,ZA,nan
M1,BELEG,M1V363145P2141,13638,VBAK,M1V363145,LIFSK,U,ZA,nan
M1,BELEG,M1V363082P18,13681,VBAK,M1V363082,LIFSK,U,ZA,nan
M1,BELEG,M1V363087P3,13689,VBAK,M1V363087,LIFSK,U,ZA,nan
M1,BELEG,M1V363105P3,13697,VBAK,M1V363105,LIFSK,U,ZA,nan
M1,BELEG,M1V362163P60,13725,VBAK,M1V362163,LIFSK,U,ZA,nan
M1,BELEG,M1V365073P60,13814,VBAK,M1V365073,LIFSK,U,ZA,nan
M1,BELEG,M1V365074P18,13822,VBAK,M1V365074,LIFSK,U,ZA,nan
